Week Ending,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,CMS Data As of date,Race and Ethnicity
09/23/2023 12:00:00 AM,1.46,2023,38,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
09/30/2023 12:00:00 AM,2,2023,39,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
10/07/2023 12:00:00 AM,2.56,2023,40,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
10/14/2023 12:00:00 AM,3.14,2023,41,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
10/21/2023 12:00:00 AM,3.72,2023,42,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
10/28/2023 12:00:00 AM,4.3,2023,43,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
11/04/2023 12:00:00 AM,4.81,2023,44,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
11/11/2023 12:00:00 AM,5.33,2023,45,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
11/18/2023 12:00:00 AM,5.88,2023,46,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
11/25/2023 12:00:00 AM,6.18,2023,47,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
08/05/2023 12:00:00 AM,0.0015,2023,31,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
08/12/2023 12:00:00 AM,0.0319,2023,32,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
08/19/2023 12:00:00 AM,0.123,2023,33,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
08/26/2023 12:00:00 AM,0.327,2023,34,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
09/02/2023 12:00:00 AM,0.671,2023,35,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
09/09/2023 12:00:00 AM,1.21,2023,36,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
09/16/2023 12:00:00 AM,2.05,2023,37,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
09/23/2023 12:00:00 AM,3.01,2023,38,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
09/30/2023 12:00:00 AM,4.09,2023,39,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
10/07/2023 12:00:00 AM,5.21,2023,40,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
10/14/2023 12:00:00 AM,6.31,2023,41,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
10/21/2023 12:00:00 AM,7.47,2023,42,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
10/28/2023 12:00:00 AM,8.54,2023,43,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
11/04/2023 12:00:00 AM,9.55,2023,44,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
11/11/2023 12:00:00 AM,10.56,2023,45,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
11/18/2023 12:00:00 AM,11.57,2023,46,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
11/25/2023 12:00:00 AM,12.16,2023,47,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
08/05/2023 12:00:00 AM,0.0007,2023,31,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
08/12/2023 12:00:00 AM,0.0233,2023,32,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
08/19/2023 12:00:00 AM,0.0856,2023,33,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
08/26/2023 12:00:00 AM,0.219,2023,34,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
09/02/2023 12:00:00 AM,0.493,2023,35,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
09/09/2023 12:00:00 AM,0.885,2023,36,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
09/16/2023 12:00:00 AM,1.49,2023,37,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
09/23/2023 12:00:00 AM,2.21,2023,38,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
09/30/2023 12:00:00 AM,3,2023,39,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
10/07/2023 12:00:00 AM,3.81,2023,40,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
10/14/2023 12:00:00 AM,4.65,2023,41,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
10/21/2023 12:00:00 AM,5.49,2023,42,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
10/28/2023 12:00:00 AM,6.34,2023,43,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
11/04/2023 12:00:00 AM,7.1,2023,44,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
11/11/2023 12:00:00 AM,7.89,2023,45,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
11/18/2023 12:00:00 AM,8.6,2023,46,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
11/25/2023 12:00:00 AM,9.07,2023,47,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
08/05/2023 12:00:00 AM,0,2023,31,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
08/12/2023 12:00:00 AM,0.0086,2023,32,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
08/19/2023 12:00:00 AM,0.0384,2023,33,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
08/26/2023 12:00:00 AM,0.114,2023,34,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
09/02/2023 12:00:00 AM,0.223,2023,35,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
09/09/2023 12:00:00 AM,0.388,2023,36,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
09/16/2023 12:00:00 AM,0.629,2023,37,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
09/23/2023 12:00:00 AM,0.904,2023,38,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
09/30/2023 12:00:00 AM,1.16,2023,39,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
10/07/2023 12:00:00 AM,1.45,2023,40,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
10/14/2023 12:00:00 AM,1.75,2023,41,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
10/21/2023 12:00:00 AM,2.04,2023,42,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
10/28/2023 12:00:00 AM,2.33,2023,43,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
11/04/2023 12:00:00 AM,2.59,2023,44,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
11/11/2023 12:00:00 AM,2.86,2023,45,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
11/18/2023 12:00:00 AM,3.12,2023,46,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
11/25/2023 12:00:00 AM,3.27,2023,47,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
01/06/2024 12:00:00 AM,17.38,2024,1,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
01/13/2024 12:00:00 AM,17.94,2024,2,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
01/20/2024 12:00:00 AM,18.32,2024,3,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
01/27/2024 12:00:00 AM,18.68,2024,4,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
01/06/2024 12:00:00 AM,18.2,2024,1,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
01/13/2024 12:00:00 AM,18.78,2024,2,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
01/20/2024 12:00:00 AM,19.16,2024,3,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
01/27/2024 12:00:00 AM,19.53,2024,4,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
01/06/2024 12:00:00 AM,8.93,2024,1,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
01/13/2024 12:00:00 AM,9.34,2024,2,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
01/20/2024 12:00:00 AM,9.6,2024,3,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
01/27/2024 12:00:00 AM,9.91,2024,4,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
01/06/2024 12:00:00 AM,16.85,2024,1,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
01/13/2024 12:00:00 AM,17.43,2024,2,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
01/20/2024 12:00:00 AM,17.87,2024,3,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
01/27/2024 12:00:00 AM,18.28,2024,4,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
